src_region,dst_region,edge_weight,edge_type
iEnt,iPir,0.22250003448478567,ipsi
cEnt,cPir,0.22250003448478567,contra_internal
iEnt,iPrL,0.01149810882968505,ipsi
cEnt,cPrL,0.01149810882968505,contra_internal
iEnt,iRSC,0.0200227747870361,ipsi
cEnt,cRSC,0.0200227747870361,contra_internal
iEnt,iRSC-b,0.01811374981383547,ipsi
cEnt,cRSC-b,0.01811374981383547,contra_internal
iEnt,iRSA,0.0200227747870361,ipsi
cEnt,cRSA,0.0200227747870361,contra_internal
iEnt,iot,0.04095668412548498,ipsi
cEnt,cot,0.04095668412548498,contra_internal
iEnt,iS1-b,0.014159884186623195,ipsi
cEnt,cS1-b,0.014159884186623195,contra_internal
iEnt,iTeA,0.08018981019104002,ipsi
cEnt,cTeA,0.08018981019104002,contra_internal
iEnt,iV,0.03114151694003722,ipsi
cEnt,cV,0.03114151694003722,contra_internal
iEnt,iV-b,0.02773511082727469,ipsi
cEnt,cV-b,0.02773511082727469,contra_internal
iDEn,iTC,0.010083797742384118,ipsi
cDEn,cTC,0.010083797742384118,contra_internal
iDEn,iMDThal,0.007619404538945612,ipsi
cDEn,cMDThal,0.007619404538945612,contra_internal
iDEn,iBMA,0.06257591509110172,ipsi
cDEn,cBMA,0.06257591509110172,contra_internal
iDEn,iPMCo,0.19831642077035663,ipsi
cDEn,cPMCo,0.19831642077035663,contra_internal
iDEn,iLEnt,0.46316794608189077,ipsi
cDEn,cLEnt,0.46316794608189077,contra_internal
iDEn,iEnt,0.31588868656867414,ipsi
cDEn,cEnt,0.31588868656867414,contra_internal
iDEn,iEn,0.06538523358302895,ipsi
cDEn,cEn,0.06538523358302895,contra_internal
iDEn,iPAG,0.012123345563591216,ipsi
cDEn,cPAG,0.012123345563591216,contra_internal
iDEn,iS1,0.00850288673528428,ipsi
cDEn,cS1,0.00850288673528428,contra_internal
iEn,iTC,0.06084113780027095,ipsi
cEn,cTC,0.06084113780027095,contra_internal
iEn,iMDThal,0.014885873779144779,ipsi
cEn,cMDThal,0.014885873779144779,contra_internal
iEn,iBMA,0.3237917792395682,ipsi
cEn,cBMA,0.3237917792395682,contra_internal
iEn,iCA,0.021834017886239364,ipsi
cEn,cCA,0.021834017886239364,contra_internal
iEn,iPMCo,0.5880786535582184,ipsi
cEn,cPMCo,0.5880786535582184,contra_internal
iEn,iHipp,0.033270583110896874,ipsi
cEn,cHipp,0.033270583110896874,contra_internal
iEn,iLEnt,0.8842389609162078,ipsi
cEn,cLEnt,0.8842389609162078,contra_internal
iEn,iEnt,0.6525992037243488,ipsi
cEn,cEnt,0.6525992037243488,contra_internal
iEn,iDEn,0.06538523358302895,ipsi
cEn,cDEn,0.06538523358302895,contra_internal
iEn,iPRh,0.013371741279261258,ipsi
cEn,cPRh,0.013371741279261258,contra_internal
iEn,iIns,0.06402013398289244,ipsi
cEn,cIns,0.06402013398289244,contra_internal
iEn,iVTA,0.00734162899620759,ipsi
cEn,cVTA,0.00734162899620759,contra_internal
iIC,iTC,0.016307845154564037,ipsi
cIC,cTC,0.016307845154564037,contra_internal
iIC,iDpMe,0.04726054292780468,ipsi
cIC,cDpMe,0.04726054292780468,contra_internal
iIC,iCPu,0.01909426045718324,ipsi
cIC,cCPu,0.01909426045718324,contra_internal
iIC,iPnO,0.027625211122505957,ipsi
cIC,cPnO,0.027625211122505957,contra_internal
iIC,iCauThal,0.016535033589032872,ipsi
cIC,cCauThal,0.016535033589032872,contra_internal
iIC,iPAG,0.3770029711417846,ipsi
cIC,cPAG,0.3770029711417846,contra_internal
iIC,iSuC,0.3823907511277082,ipsi
cIC,cSuC,0.3823907511277082,contra_internal
iIC,iot,0.023543368657574275,ipsi
cIC,cot,0.023543368657574275,contra_internal
iIC,iSN,0.025986540168680534,ipsi
cIC,cSN,0.025986540168680534,contra_internal
iIC,iVTA,0.007187886627845891,ipsi
cIC,cVTA,0.007187886627845891,contra_internal
iLDThal,iCg,0.04816094610746861,ipsi
cLDThal,cCg,0.04816094610746861,contra_internal
iLDThal,iCPu,0.223571555502273,ipsi
cLDThal,cCPu,0.223571555502273,contra_internal
iLDThal,iLEnt,0.014024158205374318,ipsi
cLDThal,cLEnt,0.014024158205374318,contra_internal
iLDThal,iEnt,0.026437226093816567,ipsi
cLDThal,cEnt,0.026437226093816567,contra_internal
iLDThal,iM1,0.08704562812101,ipsi
cLDThal,cM1,0.08704562812101,contra_internal
iLDThal,iM2,0.0782687328946808,ipsi
cLDThal,cM2,0.0782687328946808,contra_internal
iLDThal,iM,0.08267625323034494,ipsi
cLDThal,cM,0.08267625323034494,contra_internal
iLDThal,iPS,0.23937733371978745,ipsi
cLDThal,cPS,0.23937733371978745,contra_internal
iLDThal,iRSC,0.23586024869773747,ipsi
cLDThal,cRSC,0.23586024869773747,contra_internal
iLDThal,iRSC-b,0.19563242079107845,ipsi
cLDThal,cRSC-b,0.19563242079107845,contra_internal
iLDThal,iRSA,0.23586024869773747,ipsi
cLDThal,cRSA,0.23586024869773747,contra_internal
iLDThal,iVMThal,0.012299007472094503,ipsi
cLDThal,cVMThal,0.012299007472094503,contra_internal
iLDThal,iV,0.02583275020437697,ipsi
cLDThal,cV,0.02583275020437697,contra_internal
