src_region,dst_region,edge_weight,edge_type
cM,cot,0.016392163741109363,contra_internal
iM,iSN,0.03165508843501764,ipsi
cM,cSN,0.03165508843501764,contra_internal
iM,iS2,0.11078299145473533,ipsi
cM,cS2,0.11078299145473533,contra_internal
iM,iS1,0.09420183624757048,ipsi
cM,cS1,0.09420183624757048,contra_internal
iM,iS1-b,0.08035153085707229,ipsi
cM,cS1-b,0.08035153085707229,contra_internal
iM,iTeA,0.017375648728240323,ipsi
cM,cTeA,0.017375648728240323,contra_internal
iM,iIns,0.025956645002213268,ipsi
cM,cIns,0.025956645002213268,contra_internal
iM,iV,0.019643538938860224,ipsi
cM,cV,0.019643538938860224,contra_internal
iM,iV-b,0.008803730404233526,ipsi
cM,cV-b,0.008803730404233526,contra_internal
iM,iVTA,0.01825090520009952,ipsi
cM,cVTA,0.01825090520009952,contra_internal
iSC,iTC,0.07760191361255162,ipsi
cSC,cTC,0.07760191361255162,contra_internal
iSC,iMDThal,0.02772475909143084,ipsi
cSC,cMDThal,0.02772475909143084,contra_internal
iSC,iDpMe,0.21023285628604918,ipsi
cSC,cDpMe,0.21023285628604918,contra_internal
iSC,iPnO,0.014708496189095683,ipsi
cSC,cPnO,0.014708496189095683,contra_internal
iSC,iIC,0.16070449654268085,ipsi
